MSA;City;Generation;2007 Jobs;2013 Jobs;Job Change;% Job Change;2007 Share of All Jobs;2013 Share of All Jobs;Change in Share
28660;Killeen-Temple-Fort Hood, TX;Millennial; 	52.693 ; 	54.144 ; 	1.451 ;3 %;28,5 %;29,1 %;0,5 %
46660;Valdosta, GA;Millennial; 	18.856 ; 	18.443 ; 	(413);-2 %;29,0 %;29,0 %;0,1 %
32580;McAllen-Edinburg-Mission, TX;Millennial; 	75.376 ; 	78.893 ; 	3.517 ;5 %;29,9 %;29,0 %;-0,9 %
22140;Farmington, NM;Millennial; 	15.956 ; 	15.855 ; 	(101);-1 %;28,1 %;29,0 %;0,9 %
14500;Boulder, CO;Millennial; 	51.588 ; 	54.379 ; 	2.791 ;5 %;28,4 %;29,0 %;0,6 %
16580;Champaign-Urbana, IL;Millennial; 	32.239 ; 	31.423 ; 	(816);-3 %;28,8 %;29,0 %;0,2 %
36420;Oklahoma City, OK;Millennial; 	180.548 ; 	191.468 ; 	10.920 ;6 %;28,4 %;29,0 %;0,6 %
14260;Boise City-Nampa, ID;Millennial; 	91.256 ; 	87.693 ; 	(3.563);-4 %;29,2 %;29,0 %;-0,2 %
13900;Bismarck, ND;Millennial; 	18.386 ; 	21.743 ; 	3.357 ;18 %;28,0 %;29,0 %;1,0 %
14740;Bremerton-Silverdale, WA;Millennial; 	30.236 ; 	28.682 ; 	(1.554);-5 %;28,3 %;29,0 %;0,6 %
35380;New Orleans-Metairie-Kenner, LA;Millennial; 	156.452 ; 	170.107 ; 	13.655 ;9 %;27,5 %;28,9 %;1,4 %
46220;Tuscaloosa, AL;Millennial; 	29.778 ; 	29.743 ; 	(35);-0 %;28,7 %;28,9 %;0,2 %
33740;Monroe, LA;Millennial; 	24.710 ; 	23.972 ; 	(738);-3 %;28,8 %;28,8 %;0,1 %
20740;Eau Claire, WI;Millennial; 	23.716 ; 	25.316 ; 	1.600 ;7 %;27,5 %;28,8 %;1,4 %
29700;Laredo, TX;Millennial; 	29.732 ; 	30.405 ; 	673 ;2 %;29,9 %;28,8 %;-1,1 %
30780;Little Rock-North Little Rock-Conway, AR;Millennial; 	106.538 ; 	106.527 ; 	(11);-0 %;28,7 %;28,8 %;0,1 %
33460;Minneapolis-St. Paul-Bloomington, MN-WI;Millennial; 	540.904 ; 	564.222 ; 	23.318 ;4 %;27,9 %;28,8 %;0,9 %
36540;Omaha-Council Bluffs, NE-IA;Millennial; 	142.526 ; 	145.113 ; 	2.587 ;2 %;28,5 %;28,8 %;0,3 %
28420;Kennewick-Pasco-Richland, WA;Millennial; 	31.151 ; 	34.935 ; 	3.784 ;12 %;28,1 %;28,7 %;0,6 %
29740;Las Cruces, NM;Millennial; 	22.554 ; 	23.843 ; 	1.289 ;6 %;27,9 %;28,7 %;0,8 %
42100;Santa Cruz-Watsonville, CA;Millennial; 	32.265 ; 	33.083 ; 	818 ;3 %;27,6 %;28,7 %;1,1 %
48300;Wenatchee-East Wenatchee, WA;Millennial; 	15.701 ; 	16.302 ; 	601 ;4 %;27,8 %;28,7 %;0,9 %
27860;Jonesboro, AR;Millennial; 	15.594 ; 	16.496 ; 	902 ;6 %;28,8 %;28,7 %;-0,2 %
47900;Washington-Arlington-Alexandria, DC-VA-MD-WV;Millennial; 	927.662 ; 	951.403 ; 	23.741 ;3 %;28,6 %;28,6 %;0,0 %
49740;Yuma, AZ;Millennial; 	20.822 ; 	20.862 ; 	40 ;0 %;27,0 %;28,6 %;1,6 %
44700;Stockton, CA;Millennial; 	68.069 ; 	67.174 ; 	(895);-1 %;27,0 %;28,6 %;1,5 %
42060;Santa Barbara-Santa Maria-Goleta, CA;Millennial; 	59.037 ; 	61.548 ; 	2.511 ;4 %;27,4 %;28,6 %;1,2 %
47940;Waterloo-Cedar Falls, IA;Millennial; 	26.187 ; 	28.387 ; 	2.200 ;8 %;27,5 %;28,6 %;1,1 %
41500;Salinas, CA;Millennial; 	53.746 ; 	55.891 ; 	2.145 ;4 %;27,3 %;28,5 %;1,2 %
34900;Napa, CA;Millennial; 	20.365 ; 	22.149 ; 	1.784 ;9 %;26,7 %;28,5 %;1,9 %
38900;Portland-Vancouver-Hillsboro, OR-WA;Millennial; 	331.187 ; 	331.944 ; 	757 ;0 %;28,2 %;28,5 %;0,3 %
24340;Grand Rapids-Wyoming, MI;Millennial; 	113.533 ; 	122.520 ; 	8.987 ;8 %;27,6 %;28,5 %;1,0 %
47380;Waco, TX;Millennial; 	31.546 ; 	33.455 ; 	1.909 ;6 %;27,0 %;28,5 %;1,5 %
13380;Bellingham, WA;Millennial; 	26.691 ; 	26.513 ; 	(178);-1 %;27,9 %;28,5 %;0,5 %
46060;Tucson, AZ;Millennial; 	120.092 ; 	116.266 ; 	(3.826);-3 %;28,0 %;28,5 %;0,5 %
40900;Sacramento--Arden-Arcade--Roseville, CA;Millennial; 	291.231 ; 	276.383 ; 	(14.848);-5 %;27,8 %;28,4 %;0,7 %
19780;Des Moines-West Des Moines, IA;Millennial; 	100.086 ; 	103.828 ; 	3.742 ;4 %;28,3 %;28,4 %;0,1 %
32900;Merced, CA;Millennial; 	22.077 ; 	23.018 ; 	941 ;4 %;27,5 %;28,4 %;0,9 %
19740;Denver-Aurora-Broomfield, CO;Millennial; 	384.795 ; 	403.237 ; 	18.442 ;5 %;28,1 %;28,4 %;0,3 %
49420;Yakima, WA;Millennial; 	30.786 ; 	32.685 ; 	1.899 ;6 %;27,6 %;28,4 %;0,8 %
27140;Jackson, MS;Millennial; 	78.353 ; 	77.156 ; 	(1.197);-2 %;28,4 %;28,3 %;-0,1 %
14060;Bloomington-Normal, IL;Millennial; 	27.094 ; 	26.630 ; 	(464);-2 %;28,7 %;28,3 %;-0,3 %
19100;Dallas-Fort Worth-Arlington, TX;Millennial; 	902.095 ; 	963.530 ; 	61.435 ;7 %;28,1 %;28,3 %;0,2 %
34980;Nashville-Davidson--Murfreesboro--Franklin, TN;Millennial; 	243.954 ; 	253.177 ; 	9.223 ;4 %;28,2 %;28,3 %;0,1 %
24540;Greeley, CO;Millennial; 	27.072 ; 	29.118 ; 	2.046 ;8 %;27,5 %;28,3 %;0,8 %
18140;Columbus, OH;Millennial; 	284.508 ; 	286.735 ; 	2.227 ;1 %;28,3 %;28,3 %;-0,0 %
23580;Gainesville, GA;Millennial; 	23.563 ; 	22.626 ; 	(937);-4 %;28,6 %;28,3 %;-0,3 %
23460;Gadsden, AL;Millennial; 	11.190 ; 	11.238 ; 	48 ;0 %;27,3 %;28,2 %;1,0 %
24780;Greenville, NC;Millennial; 	25.450 ; 	24.597 ; 	(853);-3 %;29,5 %;28,2 %;-1,3 %
46700;Vallejo-Fairfield, CA;Millennial; 	40.468 ; 	40.863 ; 	395 ;1 %;26,8 %;28,2 %;1,4 %
24300;Grand Junction, CO;Millennial; 	18.724 ; 	18.576 ; 	(148);-1 %;26,8 %;28,2 %;1,4 %
37100;Oxnard-Thousand Oaks-Ventura, CA;Millennial; 	100.010 ; 	100.724 ; 	714 ;1 %;27,1 %;28,2 %;1,1 %
46340;Tyler, TX;Millennial; 	28.455 ; 	29.522 ; 	1.067 ;4 %;27,1 %;28,2 %;1,1 %
30460;Lexington-Fayette, KY;Millennial; 	80.674 ; 	80.878 ; 	204 ;0 %;28,7 %;28,2 %;-0,5 %
29820;Las Vegas-Paradise, NV;Millennial; 	281.022 ; 	255.873 ; 	(25.149);-9 %;28,2 %;28,2 %;-0,1 %
10780;Alexandria, LA;Millennial; 	19.831 ; 	19.262 ; 	(569);-3 %;27,6 %;28,1 %;0,5 %
31100;Los Angeles-Long Beach-Santa Ana, CA;Millennial; 	1.795.640 ; 	1.754.763 ; 	(40.877);-2 %;27,5 %;28,1 %;0,6 %
28020;Kalamazoo-Portage, MI;Millennial; 	41.745 ; 	41.134 ; 	(611);-1 %;27,0 %;28,1 %;1,1 %
29140;Lafayette, IN;Millennial; 	27.432 ; 	28.691 ; 	1.259 ;5 %;28,3 %;28,1 %;-0,2 %
17300;Clarksville, TN-KY;Millennial; 	34.052 ; 	36.035 ; 	1.983 ;6 %;27,6 %;28,1 %;0,5 %
36980;Owensboro, KY;Millennial; 	14.902 ; 	16.326 ; 	1.424 ;10 %;26,6 %;28,1 %;1,5 %
40140;Riverside-San Bernardino-Ontario, CA;Millennial; 	415.609 ; 	394.566 ; 	(21.043);-5 %;27,4 %;28,0 %;0,7 %
28140;Kansas City, MO-KS;Millennial; 	302.799 ; 	302.365 ; 	(434);-0 %;27,6 %;28,0 %;0,5 %
42340;Savannah, GA;Millennial; 	50.196 ; 	47.346 ; 	(2.850);-6 %;28,9 %;28,0 %;-0,9 %
36740;Orlando-Kissimmee-Sanford, FL;Millennial; 	314.993 ; 	312.713 ; 	(2.280);-1 %;27,8 %;28,0 %;0,2 %
39580;Raleigh-Cary, NC;Millennial; 	159.113 ; 	160.719 ; 	1.606 ;1 %;28,4 %;28,0 %;-0,4 %
49700;Yuba City, CA;Millennial; 	15.224 ; 	15.135 ; 	(89);-1 %;26,6 %;28,0 %;1,3 %
41860;San Francisco-Oakland-Fremont, CA;Millennial; 	639.228 ; 	644.171 ; 	4.943 ;1 %;27,8 %;28,0 %;0,2 %
30980;Longview, TX;Millennial; 	27.835 ; 	31.420 ; 	3.585 ;13 %;26,5 %;28,0 %;1,4 %
15180;Brownsville-Harlingen, TX;Millennial; 	41.142 ; 	41.740 ; 	598 ;1 %;29,1 %;27,9 %;-1,2 %
26180;Honolulu, HI;Millennial; 	153.454 ; 	152.405 ; 	(1.049);-1 %;27,9 %;27,9 %;-0,0 %
48900;Wilmington, NC;Millennial; 	46.556 ; 	43.150 ; 	(3.406);-7 %;28,4 %;27,9 %;-0,5 %
41140;St. Joseph, MO-KS;Millennial; 	16.917 ; 	16.898 ; 	(19);-0 %;27,1 %;27,9 %;0,8 %
26420;Houston-Sugar Land-Baytown, TX;Millennial; 	781.706 ; 	851.406 ; 	69.700 ;9 %;28,0 %;27,9 %;-0,2 %
34580;Mount Vernon-Anacortes, WA;Millennial; 	15.369 ; 	14.486 ; 	(883);-6 %;27,6 %;27,9 %;0,3 %
34620;Muncie, IN;Millennial; 	14.554 ; 	13.988 ; 	(566);-4 %;26,8 %;27,8 %;1,0 %
21660;Eugene-Springfield, OR;Millennial; 	47.259 ; 	44.222 ; 	(3.037);-6 %;27,2 %;27,8 %;0,6 %
48660;Wichita Falls, TX;Millennial; 	19.602 ; 	19.248 ; 	(354);-2 %;26,5 %;27,8 %;1,3 %
27260;Jacksonville, FL;Millennial; 	181.158 ; 	181.238 ; 	80 ;0 %;26,9 %;27,8 %;0,9 %
17980;Columbus, GA-AL;Millennial; 	41.036 ; 	41.120 ; 	84 ;0 %;27,6 %;27,8 %;0,2 %
12060;Atlanta-Sandy Springs-Marietta, GA;Millennial; 	735.160 ; 	708.559 ; 	(26.601);-4 %;28,2 %;27,8 %;-0,5 %
25980;Hinesville-Fort Stewart, GA;Millennial; 	9.754 ; 	10.208 ; 	454 ;5 %;27,5 %;27,8 %;0,3 %
26900;Indianapolis-Carmel, IN;Millennial; 	262.242 ; 	270.194 ; 	7.952 ;3 %;27,6 %;27,8 %;0,2 %
40340;Rochester, MN;Millennial; 	31.172 ; 	31.340 ; 	168 ;1 %;27,6 %;27,8 %;0,2 %
25060;Gulfport-Biloxi, MS;Millennial; 	33.813 ; 	32.832 ; 	(981);-3 %;27,2 %;27,7 %;0,6 %
10740;Albuquerque, NM;Millennial; 	117.694 ; 	113.445 ; 	(4.249);-4 %;27,3 %;27,7 %;0,4 %
37860;Pensacola-Ferry Pass-Brent, FL;Millennial; 	49.641 ; 	50.695 ; 	1.054 ;2 %;25,7 %;27,7 %;2,0 %
16980;Chicago-Joliet-Naperville, IL-IN-WI;Millennial; 	1.315.927 ; 	1.283.850 ; 	(32.077);-2 %;27,4 %;27,7 %;0,3 %
13820;Birmingham-Hoover, AL;Millennial; 	156.306 ; 	146.311 ; 	(9.995);-6 %;27,7 %;27,7 %;-0,0 %
31460;Madera-Chowchilla, CA;Millennial; 	13.729 ; 	14.461 ; 	732 ;5 %;26,2 %;27,6 %;1,5 %
21060;Elizabethtown, KY;Millennial; 	16.325 ; 	17.565 ; 	1.240 ;8 %;27,5 %;27,6 %;0,1 %
40660;Rome, GA;Millennial; 	12.478 ; 	11.623 ; 	(855);-7 %;27,6 %;27,6 %;0,1 %
41180;St. Louis, MO-IL;Millennial; 	392.456 ; 	389.672 ; 	(2.784);-1 %;26,9 %;27,6 %;0,7 %
47020;Victoria, TX;Millennial; 	15.026 ; 	15.858 ; 	832 ;6 %;26,7 %;27,6 %;0,9 %
31140;Louisville/Jefferson County, KY-IN;Millennial; 	180.653 ; 	181.927 ; 	1.274 ;1 %;27,4 %;27,6 %;0,2 %
33660;Mobile, AL;Millennial; 	55.592 ; 	53.175 ; 	(2.417);-4 %;27,5 %;27,6 %;0,0 %
16740;Charlotte-Gastonia-Rock Hill, NC-SC;Millennial; 	259.410 ; 	261.438 ; 	2.028 ;1 %;27,9 %;27,6 %;-0,3 %
39900;Reno-Sparks, NV;Millennial; 	62.696 ; 	55.884 ; 	(6.812);-11 %;26,3 %;27,6 %;1,3 %
17660;Coeur d'Alene, ID;Millennial; 	17.432 ; 	16.362 ; 	(1.070);-6 %;27,1 %;27,6 %;0,5 %
17900;Columbia, SC;Millennial; 	106.526 ; 	107.112 ; 	586 ;1 %;27,2 %;27,6 %;0,3 %
16020;Cape Girardeau-Jackson, MO-IL;Millennial; 	14.068 ; 	13.418 ; 	(650);-5 %;27,5 %;27,5 %;0,0 %
29620;Lansing-East Lansing, MI;Millennial; 	62.018 ; 	60.959 ; 	(1.059);-2 %;26,7 %;27,5 %;0,8 %
12260;Augusta-Richmond County, GA-SC;Millennial; 	64.855 ; 	66.910 ; 	2.055 ;3 %;26,7 %;27,5 %;0,8 %
18700;Corvallis, OR;Millennial; 	11.422 ; 	11.866 ; 	444 ;4 %;26,2 %;27,5 %;1,3 %
26580;Huntington-Ashland, WV-KY-OH;Millennial; 	34.619 ; 	32.538 ; 	(2.081);-6 %;27,9 %;27,5 %;-0,4 %
30300;Lewiston, ID-WA;Millennial; 	7.933 ; 	7.832 ; 	(101);-1 %;26,7 %;27,5 %;0,8 %
10500;Albany, GA;Millennial; 	18.836 ; 	18.148 ; 	(688);-4 %;27,1 %;27,5 %;0,4 %
16300;Cedar Rapids, IA;Millennial; 	40.349 ; 	41.865 ; 	1.516 ;4 %;27,2 %;27,5 %;0,3 %
39820;Redding, CA;Millennial; 	20.652 ; 	18.820 ; 	(1.832);-9 %;26,3 %;27,4 %;1,1 %
18020;Columbus, IN;Millennial; 	12.444 ; 	14.264 ; 	1.820 ;15 %;26,6 %;27,4 %;0,9 %
30020;Lawton, OK;Millennial; 	15.596 ; 	16.100 ; 	504 ;3 %;26,9 %;27,4 %;0,5 %
39380;Pueblo, CO;Millennial; 	16.828 ; 	17.471 ; 	643 ;4 %;26,5 %;27,4 %;0,9 %
14460;Boston-Cambridge-Quincy, MA-NH;Millennial; 	715.670 ; 	746.261 ; 	30.591 ;4 %;26,9 %;27,4 %;0,5 %
37460;Panama City-Lynn Haven-Panama City Beach, FL;Millennial; 	22.003 ; 	21.389 ; 	(614);-3 %;26,2 %;27,4 %;1,1 %
33860;Montgomery, AL;Millennial; 	54.118 ; 	49.263 ; 	(4.855);-9 %;27,8 %;27,4 %;-0,4 %
48620;Wichita, KS;Millennial; 	87.689 ; 	85.429 ; 	(2.260);-3 %;26,8 %;27,4 %;0,6 %
41940;San Jose-Sunnyvale-Santa Clara, CA;Millennial; 	280.400 ; 	284.005 ; 	3.605 ;1 %;27,8 %;27,4 %;-0,4 %
16940;Cheyenne, WY;Millennial; 	13.459 ; 	14.725 ; 	1.266 ;9 %;26,1 %;27,3 %;1,2 %
29100;La Crosse, WI-MN;Millennial; 	20.748 ; 	22.003 ; 	1.255 ;6 %;26,4 %;27,3 %;0,9 %
13740;Billings, MT;Millennial; 	23.623 ; 	24.938 ; 	1.315 ;6 %;26,4 %;27,3 %;0,9 %
39660;Rapid City, SD;Millennial; 	18.472 ; 	19.367 ; 	895 ;5 %;26,4 %;27,3 %;0,9 %
32820;Memphis, TN-MS-AR;Millennial; 	189.689 ; 	179.550 ; 	(10.139);-5 %;27,4 %;27,3 %;-0,1 %
37900;Peoria, IL;Millennial; 	52.472 ; 	51.783 ; 	(689);-1 %;26,5 %;27,3 %;0,8 %
45460;Terre Haute, IN;Millennial; 	20.368 ; 	20.432 ; 	64 ;0 %;26,5 %;27,3 %;0,7 %
11460;Ann Arbor, MI;Millennial; 	58.163 ; 	61.573 ; 	3.410 ;6 %;26,8 %;27,2 %;0,5 %
42220;Santa Rosa-Petaluma, CA;Millennial; 	58.548 ; 	56.913 ; 	(1.635);-3 %;26,1 %;27,2 %;1,2 %
22900;Fort Smith, AR-OK;Millennial; 	37.316 ; 	34.332 ; 	(2.984);-8 %;27,3 %;27,2 %;-0,1 %
41420;Salem, OR;Millennial; 	47.260 ; 	46.565 ; 	(695);-1 %;26,2 %;27,2 %;1,0 %
17140;Cincinnati-Middletown, OH-KY-IN;Millennial; 	296.245 ; 	289.000 ; 	(7.245);-2 %;26,7 %;27,2 %;0,5 %
27900;Joplin, MO;Millennial; 	23.476 ; 	23.133 ; 	(343);-1 %;26,7 %;27,2 %;0,4 %
45500;Texarkana, TX-Texarkana, AR;Millennial; 	16.665 ; 	16.548 ; 	(117);-1 %;27,5 %;27,2 %;-0,4 %
34820;Myrtle Beach-North Myrtle Beach-Conway, SC;Millennial; 	35.576 ; 	33.361 ; 	(2.215);-6 %;27,5 %;27,1 %;-0,4 %
36500;Olympia, WA;Millennial; 	29.778 ; 	29.492 ; 	(286);-1 %;26,5 %;27,1 %;0,7 %
21780;Evansville, IN-KY;Millennial; 	47.899 ; 	49.975 ; 	2.076 ;4 %;25,8 %;27,1 %;1,3 %
24140;Goldsboro, NC;Millennial; 	15.009 ; 	14.434 ; 	(575);-4 %;27,3 %;27,1 %;-0,2 %
44100;Springfield, IL;Millennial; 	36.744 ; 	37.718 ; 	974 ;3 %;26,0 %;27,1 %;1,1 %
46140;Tulsa, OK;Millennial; 	125.472 ; 	125.128 ; 	(344);-0 %;26,8 %;27,1 %;0,3 %
11500;Anniston-Oxford, AL;Millennial; 	15.357 ; 	13.733 ; 	(1.624);-11 %;27,2 %;27,1 %;-0,1 %
11700;Asheville, NC;Millennial; 	52.446 ; 	53.117 ; 	671 ;1 %;26,1 %;27,1 %;1,0 %
15380;Buffalo-Niagara Falls, NY;Millennial; 	140.575 ; 	152.668 ; 	12.093 ;9 %;24,9 %;27,1 %;2,2 %
24860;Greenville-Mauldin-Easley, SC;Millennial; 	86.670 ; 	87.589 ; 	919 ;1 %;26,2 %;27,1 %;0,9 %
26620;Huntsville, AL;Millennial; 	58.758 ; 	59.575 ; 	817 ;1 %;26,5 %;27,0 %;0,6 %
22520;Florence-Muscle Shoals, AL;Millennial; 	16.077 ; 	15.899 ; 	(178);-1 %;26,4 %;27,0 %;0,6 %
20260;Duluth, MN-WI;Millennial; 	36.409 ; 	37.136 ; 	727 ;2 %;25,7 %;27,0 %;1,4 %
33340;Milwaukee-Waukesha-West Allis, WI;Millennial; 	238.662 ; 	235.427 ; 	(3.235);-1 %;26,5 %;27,0 %;0,5 %
21140;Elkhart-Goshen, IN;Millennial; 	37.063 ; 	32.167 ; 	(4.896);-13 %;27,8 %;27,0 %;-0,8 %
31020;Longview, WA;Millennial; 	11.146 ; 	10.449 ; 	(697);-6 %;26,5 %;27,0 %;0,5 %
16820;Charlottesville, VA;Millennial; 	28.236 ; 	28.956 ; 	720 ;3 %;25,9 %;27,0 %;1,1 %
18880;Crestview-Fort Walton Beach-Destin, FL;Millennial; 	26.746 ; 	26.657 ; 	(89);-0 %;25,5 %;26,9 %;1,5 %
45820;Topeka, KS;Millennial; 	31.246 ; 	32.387 ; 	1.141 ;4 %;25,8 %;26,9 %;1,1 %
34740;Muskegon-Norton Shores, MI;Millennial; 	17.633 ; 	17.919 ; 	286 ;2 %;25,5 %;26,9 %;1,4 %
16860;Chattanooga, TN-GA;Millennial; 	71.202 ; 	68.272 ; 	(2.930);-4 %;26,6 %;26,9 %;0,3 %
45780;Toledo, OH;Millennial; 	89.576 ; 	86.652 ; 	(2.924);-3 %;25,9 %;26,8 %;1,0 %
44300;State College, PA;Millennial; 	20.973 ; 	21.760 ; 	787 ;4 %;26,4 %;26,8 %;0,4 %
43580;Sioux City, IA-NE-SD;Millennial; 	21.647 ; 	22.115 ; 	468 ;2 %;26,4 %;26,8 %;0,4 %
47580;Warner Robins, GA;Millennial; 	17.726 ; 	17.661 ; 	(65);-0 %;26,9 %;26,8 %;-0,1 %
19500;Decatur, IL;Millennial; 	14.963 ; 	14.315 ; 	(648);-4 %;25,9 %;26,8 %;0,9 %
20500;Durham-Chapel Hill, NC;Millennial; 	84.164 ; 	83.159 ; 	(1.005);-1 %;27,4 %;26,8 %;-0,6 %
13980;Blacksburg-Christiansburg-Radford, VA;Millennial; 	18.763 ; 	19.193 ; 	430 ;2 %;26,0 %;26,8 %;0,8 %
38340;Pittsfield, MA;Millennial; 	18.460 ; 	18.321 ; 	(139);-1 %;25,8 %;26,8 %;1,0 %
17820;Colorado Springs, CO;Millennial; 	83.428 ; 	86.180 ; 	2.752 ;3 %;26,1 %;26,8 %;0,7 %
13140;Beaumont-Port Arthur, TX;Millennial; 	47.590 ; 	46.684 ; 	(906);-2 %;26,9 %;26,8 %;-0,2 %
27620;Jefferson City, MO;Millennial; 	22.332 ; 	21.556 ; 	(776);-3 %;26,7 %;26,8 %;0,1 %
27060;Ithaca, NY;Millennial; 	15.197 ; 	15.044 ; 	(153);-1 %;27,1 %;26,8 %;-0,3 %
47260;Virginia Beach-Norfolk-Newport News, VA-NC;Millennial; 	241.856 ; 	236.101 ; 	(5.755);-2 %;26,5 %;26,7 %;0,2 %
13460;Bend, OR;Millennial; 	22.100 ; 	19.167 ; 	(2.933);-13 %;27,1 %;26,7 %;-0,4 %
25500;Harrisonburg, VA;Millennial; 	17.816 ; 	17.966 ; 	150 ;1 %;26,6 %;26,7 %;0,0 %
12580;Baltimore-Towson, MD;Millennial; 	367.256 ; 	383.251 ; 	15.995 ;4 %;25,7 %;26,6 %;0,9 %
27180;Jackson, TN;Millennial; 	17.427 ; 	17.166 ; 	(261);-1 %;26,4 %;26,6 %;0,2 %
21300;Elmira, NY;Millennial; 	10.351 ; 	10.641 ; 	290 ;3 %;24,5 %;26,5 %;2,0 %
40380;Rochester, NY;Millennial; 	131.325 ; 	139.302 ; 	7.977 ;6 %;24,7 %;26,5 %;1,8 %
35620;New York-Northern New Jersey-Long Island, NY-NJ-PA;Millennial; 	2.413.660 ; 	2.458.889 ; 	45.229 ;2 %;26,2 %;26,5 %;0,3 %
20020;Dothan, AL;Millennial; 	18.323 ; 	16.303 ; 	(2.020);-11 %;27,0 %;26,5 %;-0,4 %
40980;Saginaw-Saginaw Township North, MI;Millennial; 	23.572 ; 	23.611 ; 	39 ;0 %;25,2 %;26,5 %;1,3 %
23060;Fort Wayne, IN;Millennial; 	59.759 ; 	58.800 ; 	(959);-2 %;26,3 %;26,5 %;0,2 %
44940;Sumter, SC;Millennial; 	12.299 ; 	11.865 ; 	(434);-4 %;25,9 %;26,4 %;0,5 %
19340;Davenport-Moline-Rock Island, IA-IL;Millennial; 	52.830 ; 	52.206 ; 	(624);-1 %;26,0 %;26,4 %;0,5 %
11340;Anderson, SC;Millennial; 	17.862 ; 	17.568 ; 	(294);-2 %;25,8 %;26,4 %;0,6 %
26100;Holland-Grand Haven, MI;Millennial; 	32.805 ; 	32.996 ; 	191 ;1 %;26,5 %;26,4 %;-0,1 %
43300;Sherman-Denison, TX;Millennial; 	12.220 ; 	12.810 ; 	590 ;5 %;25,0 %;26,4 %;1,3 %
11540;Appleton, WI;Millennial; 	33.127 ; 	33.860 ; 	733 ;2 %;25,7 %;26,4 %;0,7 %
22420;Flint, MI;Millennial; 	40.063 ; 	38.724 ; 	(1.339);-3 %;25,2 %;26,3 %;1,1 %
28940;Knoxville, TN;Millennial; 	97.852 ; 	95.195 ; 	(2.657);-3 %;26,6 %;26,3 %;-0,3 %
12700;Barnstable Town, MA;Millennial; 	27.655 ; 	28.280 ; 	625 ;2 %;25,4 %;26,3 %;0,9 %
40060;Richmond, VA;Millennial; 	174.961 ; 	175.108 ; 	147 ;0 %;26,0 %;26,3 %;0,3 %
24500;Great Falls, MT;Millennial; 	10.536 ; 	11.184 ; 	648 ;6 %;24,7 %;26,3 %;1,6 %
32780;Medford, OR;Millennial; 	25.045 ; 	23.423 ; 	(1.622);-6 %;25,5 %;26,2 %;0,7 %
20100;Dover, DE;Millennial; 	18.527 ; 	18.670 ; 	143 ;1 %;25,3 %;26,2 %;0,9 %
26300;Hot Springs, AR;Millennial; 	10.965 ; 	10.574 ; 	(391);-4 %;25,4 %;26,2 %;0,8 %
24580;Green Bay, WI;Millennial; 	47.818 ; 	47.609 ; 	(209);-0 %;26,2 %;26,2 %;-0,1 %
36780;Oshkosh-Neenah, WI;Millennial; 	24.959 ; 	25.619 ; 	660 ;3 %;25,7 %;26,1 %;0,4 %
30620;Lima, OH;Millennial; 	14.847 ; 	14.067 ; 	(780);-5 %;25,2 %;26,1 %;1,0 %
37980;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD;Millennial; 	755.148 ; 	756.739 ; 	1.591 ;0 %;25,4 %;26,1 %;0,7 %
20220;Dubuque, IA;Millennial; 	14.937 ; 	16.425 ; 	1.488 ;10 %;25,0 %;26,1 %;1,1 %
45300;Tampa-St. Petersburg-Clearwater, FL;Millennial; 	346.478 ; 	326.438 ; 	(20.040);-6 %;25,8 %;26,0 %;0,2 %
27740;Johnson City, TN;Millennial; 	23.356 ; 	21.716 ; 	(1.640);-7 %;26,8 %;26,0 %;-0,8 %
29420;Lake Havasu City-Kingman, AZ;Millennial; 	15.037 ; 	13.092 ; 	(1.945);-13 %;24,6 %;25,9 %;1,4 %
28100;Kankakee-Bradley, IL;Millennial; 	11.922 ; 	11.833 ; 	(89);-1 %;25,0 %;25,9 %;1,0 %
44140;Springfield, MA;Millennial; 	81.541 ; 	84.351 ; 	2.810 ;3 %;25,0 %;25,9 %;0,9 %
49340;Worcester, MA;Millennial; 	91.192 ; 	92.676 ; 	1.484 ;2 %;25,4 %;25,9 %;0,5 %
10580;Albany-Schenectady-Troy, NY;Millennial; 	116.710 ; 	118.582 ; 	1.872 ;2 %;25,1 %;25,9 %;0,8 %
20940;El Centro, CA;Millennial; 	16.998 ; 	17.573 ; 	575 ;3 %;26,4 %;25,9 %;-0,5 %
15260;Brunswick, GA;Millennial; 	12.838 ; 	11.249 ; 	(1.589);-12 %;26,4 %;25,9 %;-0,5 %
19140;Dalton, GA;Millennial; 	22.106 ; 	16.929 ; 	(5.177);-23 %;27,6 %;25,8 %;-1,8 %
22500;Florence, SC;Millennial; 	23.862 ; 	22.807 ; 	(1.055);-4 %;25,7 %;25,8 %;0,1 %
19380;Dayton, OH;Millennial; 	108.094 ; 	103.450 ; 	(4.644);-4 %;25,0 %;25,8 %;0,8 %
15540;Burlington-South Burlington, VT;Millennial; 	32.284 ; 	34.228 ; 	1.944 ;6 %;25,1 %;25,8 %;0,7 %
15500;Burlington, NC;Millennial; 	16.844 ; 	16.990 ; 	146 ;1 %;25,0 %;25,8 %;0,7 %
16620;Charleston, WV;Millennial; 	40.630 ; 	38.709 ; 	(1.921);-5 %;26,2 %;25,7 %;-0,4 %
45060;Syracuse, NY;Millennial; 	81.639 ; 	83.194 ; 	1.555 ;2 %;24,5 %;25,7 %;1,2 %
