First 2 of SOC;SOC;Occupation;Generation;2007 Jobs;2013 Jobs;Job Change;% Job Change;2007 Share of All Jobs;2013 Share of All Jobs;Change in Share;
53;53-7062;Laborers and Freight, Stock, and Material Movers, Hand;Millennial; 	760.334 ;724.976; (35.358);-5 %;32 %;32%;0%;
47;47-1011;First-Line Supervisors of Construction Trades and Extraction Workers;Millennial; 	154.906 ;119.319; (35.587);-23 %;20 %;19%; (1%);
11;11-1021;General and Operations Managers;Millennial; 	413.598 ;377.253; (36.345);-9 %;19 %;20%;1%;
41;41-4012;Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;Millennial; 	364.445 ;325.234; (39.211);-11 %;22 %;21%; (1%);
47;47-2111;Electricians;Millennial; 	236.487 ;194.443; (42.044);-18 %;33 %;31%; (2%);
53;53-3032;Heavy and Tractor-Trailer Truck Drivers;Millennial; 	369.694 ;323.909; (45.785);-12 %;19 %;18%; (1%);
43;43-6014;Secretaries and Administrative Assistants, Except Legal, Medical, and Executive;Millennial; 	622.918 ;569.072; (53.846);-9 %;23 %;23%; (0%);
51;51-2092;Team Assemblers;Millennial; 	337.012 ;282.772; (54.240);-16 %;28 %;27%; (1%);
47;47-2061;Construction Laborers;Millennial; 	466.606 ;393.332; (73.274);-16 %;33 %;32%; (1%);
47;47-2031;Carpenters;Millennial; 	401.192 ;288.981; (112.211);-28 %;30 %;29%; (1%);
