First 2 of SOC;SOC;Occupation;Generation;2007 Jobs;2013 Jobs;Job Change;% Job Change;2007 Share of All Jobs;2013 Share of All Jobs;Change in Share;
21;21-1011;Substance Abuse and Behavioral Disorder Counselors;Baby Boomer; 	13.996 ;16.712;2.716;19 %;17%;19%;2%;
51;51-9198;Helpers--Production Workers;Baby Boomer; 	43.900 ;46.610;2.710;6 %;9%;11%;2%;
31;31-9097;Phlebotomists;Baby Boomer; 	10.369 ;13.036;2.667;26 %;11%;13%;2%;
21;21-1015;Rehabilitation Counselors;Baby Boomer; 	20.026 ;22.659;2.633;13 %;18%;19%;1%;
43;43-4181;Reservation and Transportation Ticket Agents and Travel Clerks;Baby Boomer; 	21.157 ;23.768;2.611;12 %;14%;18%;4%;
29;29-2032;Diagnostic Medical Sonographers;Baby Boomer; 	5.966 ;8.563;2.597;44 %;12%;14%;2%;
17;17-2051;Civil Engineers;Baby Boomer; 	47.722 ;50.312;2.590;5 %;16%;18%;2%;
13;13-2072;Loan Officers;Baby Boomer; 	39.463 ;42.038;2.575;7 %;12%;14%;2%;
35;35-2012;Cooks, Institution and Cafeteria;Baby Boomer; 	65.670 ;68.233;2.563;4 %;16%;16%;0%;
51;51-2011;Aircraft Structure, Surfaces, Rigging, and Systems Assemblers;Baby Boomer; 	7.280 ;9.839;2.559;35 %;20%;24%;4%;
49;49-3011;Aircraft Mechanics and Service Technicians;Baby Boomer; 	18.583 ;21.129;2.546;14 %;15%;17%;2%;
49;49-3042;Mobile Heavy Equipment Mechanics, Except Engines;Baby Boomer; 	19.813 ;22.358;2.545;13 %;16%;18%;2%;
29;29-2081;Opticians, Dispensing;Baby Boomer; 	8.599 ;11.142;2.543;30 %;15%;17%;2%;
11;11-9151;Social and Community Service Managers;Baby Boomer; 	27.057 ;29.596;2.539;9 %;21%;22%;1%;
29;29-2055;Surgical Technologists;Baby Boomer; 	9.202 ;11.720;2.518;27 %;10%;12%;2%;
27;27-3091;Interpreters and Translators;Baby Boomer; 	8.312 ;10.755;2.443;29 %;15%;15%; (0%);
29;29-1151;Nurse Anesthetists;Baby Boomer; 	5.786 ;8.215;2.429;42 %;19%;23%;4%;
31;31-9099;Healthcare Support Workers, All Other;Baby Boomer; 	15.156 ;17.577;2.421;16 %;14%;16%;2%;
49;49-9051;Electrical Power-Line Installers and Repairers;Baby Boomer; 	13.107 ;15.524;2.417;18 %;12%;13%;1%;
29;29-1071;Physician Assistants;Baby Boomer; 	8.472 ;10.870;2.398;28 %;11%;12%;1%;
17;17-2072;Electronics Engineers, Except Computer;Baby Boomer; 	24.026 ;26.403;2.377;10 %;16%;19%;3%;
51;51-3092;Food Batchmakers;Baby Boomer; 	11.938 ;14.306;2.368;20 %;12%;14%;2%;
53;53-2011;Airline Pilots, Copilots, and Flight Engineers;Baby Boomer; 	11.375 ;13.742;2.367;21 %;16%;20%;4%;
17;17-2011;Aerospace Engineers;Baby Boomer; 	14.459 ;16.779;2.320;16 %;18%;20%;2%;
15;15-1134;Web Developers;Baby Boomer; 	6.964 ;9.271;2.307;33 %;6%;7%;1%;
11;11-3071;Transportation, Storage, and Distribution Managers;Baby Boomer; 	17.985 ;20.242;2.257;13 %;17%;19%;2%;
53;53-7081;Refuse and Recyclable Material Collectors;Baby Boomer; 	15.855 ;18.107;2.252;14 %;12%;13%;1%;
53;53-6031;Automotive and Watercraft Service Attendants;Baby Boomer; 	9.447 ;11.679;2.232;24 %;9%;10%;1%;
21;21-1091;Health Educators ;Baby Boomer; 	8.908 ;11.137;2.229;25 %;17%;19%;2%;
25;25-9031;Instructional Coordinators;Baby Boomer; 	28.326 ;30.544;2.218;8 %;22%;22%;0%;
49;49-9098;Helpers--Installation, Maintenance, and Repair Workers;Baby Boomer; 	12.015 ;14.230;2.215;18 %;9%;11%;2%;
43;43-5011;Cargo and Freight Agents;Baby Boomer; 	8.424 ;10.631;2.207;26 %;11%;13%;2%;
15;15-2031;Operations Research Analysts;Baby Boomer; 	11.072 ;13.248;2.176;20 %;16%;18%;2%;
15;15-1199;Computer Occupations, All Other;Baby Boomer; 	26.900 ;29.074;2.174;8 %;14%;14%;0%;
13;13-1022;Wholesale and Retail Buyers, Except Farm Products;Baby Boomer; 	20.057 ;22.204;2.147;11 %;16%;18%;2%;
11;11-9033;Education Administrators, Postsecondary;Baby Boomer; 	25.325 ;27.468;2.143;8 %;22%;23%;1%;
13;13-2052;Personal Financial Advisors;Baby Boomer; 	35.989 ;38.124;2.135;6 %;16%;17%;1%;
39;39-9041;Residential Advisors;Baby Boomer; 	12.393 ;14.519;2.126;17 %;13%;14%;1%;
17;17-2199;Engineers, All Other;Baby Boomer; 	25.213 ;27.338;2.125;8 %;18%;19%;1%;
17;17-3023;Electrical and Electronics Engineering Technicians;Baby Boomer; 	26.228 ;28.353;2.125;8 %;17%;19%;2%;
35;35-2015;Cooks, Short Order;Baby Boomer; 	10.900 ;12.997;2.097;19 %;7%;8%;1%;
29;29-1122;Occupational Therapists;Baby Boomer; 	10.100 ;12.183;2.083;21 %;10%;11%;1%;
15;15-1122;Information Security Analysts;Baby Boomer; 	11.001 ;13.073;2.072;19 %;15%;17%;2%;
11;11-3061;Purchasing Managers;Baby Boomer; 	14.987 ;17.057;2.070;14 %;21%;24%;3%;
13;13-2099;Financial Specialists, All Other;Baby Boomer; 	21.962 ;24.002;2.040;9 %;14%;15%;1%;
47;47-2152;Plumbers, Pipefitters, and Steamfitters;Baby Boomer; 	47.314 ;49.341;2.027;4 %;10%;12%;2%;
29;29-2056;Veterinary Technologists and Technicians;Baby Boomer; 	4.046 ;6.069;2.023;50 %;5%;7%;2%;
13;13-2051;Financial Analysts;Baby Boomer; 	18.204 ;20.223;2.019;11 %;7%;8%;1%;
51;51-8093;Petroleum Pump System Operators, Refinery Operators, and Gaugers;Baby Boomer; 	7.569 ;9.584;2.015;27 %;18%;22%;4%;
13;13-2053;Insurance Underwriters;Baby Boomer; 	15.510 ;17.525;2.015;13 %;16%;19%;3%;
43;43-4071;File Clerks;Baby Boomer; 	25.581 ;27.574;1.993;8 %;13%;16%;3%;
29;29-1031;Dietitians and Nutritionists;Baby Boomer; 	9.268 ;11.249;1.981;21 %;15%;17%;2%;
19;19-2031;Chemists;Baby Boomer; 	12.196 ;14.163;1.967;16 %;14%;16%;2%;
31;31-9093;Medical Equipment Preparers;Baby Boomer; 	6.548 ;8.511;1.963;30 %;13%;16%;3%;
29;29-2031;Cardiovascular Technologists and Technicians;Baby Boomer; 	5.405 ;7.288;1.883;35 %;12%;14%;2%;
19;19-4031;Chemical Technicians;Baby Boomer; 	10.891 ;12.760;1.869;17 %;17%;20%;3%;
31;31-2021;Physical Therapist Assistants;Baby Boomer; 	4.694 ;6.559;1.865;40 %;8%;9%;1%;
51;51-9023;Mixing and Blending Machine Setters, Operators, and Tenders;Baby Boomer; 	16.710 ;18.535;1.825;11 %;13%;15%;2%;
47;47-2111;Electricians;Baby Boomer; 	78.292 ;80.075;1.783;2 %;11%;13%;2%;
25;25-2011;Preschool Teachers, Except Special Education;Baby Boomer; 	50.401 ;52.181;1.780;4 %;11%;12%;1%;
43;43-5111;Weighers, Measurers, Checkers, and Samplers, Recordkeeping;Baby Boomer; 	10.485 ;12.253;1.768;17 %;14%;17%;3%;
17;17-3029;Engineering Technicians, Except Drafters, All Other;Baby Boomer; 	11.224 ;12.978;1.754;16 %;17%;19%;2%;
27;27-3042;Technical Writers;Baby Boomer; 	11.843 ;13.579;1.736;15 %;23%;26%;3%;
29;29-1127;Speech-Language Pathologists;Baby Boomer; 	20.178 ;21.900;1.722;9 %;17%;17%;0%;
51;51-2022;Electrical and Electronic Equipment Assemblers;Baby Boomer; 	40.061 ;41.778;1.717;4 %;18%;21%;3%;
21;21-1012;Educational, Guidance, School, and Vocational Counselors;Baby Boomer; 	46.396 ;48.104;1.708;4 %;20%;20%; (0%);
25;25-2022;Middle School Teachers, Except Special and Career/Technical Education;Baby Boomer; 	126.733 ;128.437;1.704;1 %;21%;21%; (0%);
51;51-9199;Production Workers, All Other;Baby Boomer; 	33.257 ;34.948;1.691;5 %;12%;14%;2%;
19;19-2042;Geoscientists, Except Hydrologists and Geographers;Baby Boomer; 	5.493 ;7.143;1.650;30 %;16%;18%;2%;
19;19-4021;Biological Technicians;Baby Boomer; 	8.725 ;10.374;1.649;19 %;13%;14%;1%;
29;29-1199;Health Diagnosing and Treating Practitioners, All Other;Baby Boomer; 	7.837 ;9.469;1.632;21 %;20%;22%;2%;
51;51-3023;Slaughterers and Meat Packers;Baby Boomer; 	8.149 ;9.759;1.610;20 %;10%;12%;2%;
49;49-9062;Medical Equipment Repairers;Baby Boomer; 	6.135 ;7.742;1.607;26 %;18%;20%;2%;
15;15-1143;Computer Network Architects;Baby Boomer; 	11.656 ;13.262;1.606;14 %;8%;9%;1%;
21;21-2011;Clergy;Baby Boomer; 	57.767 ;59.361;1.594;3 %;25%;25%;0%;
31;31-1015;Orderlies;Baby Boomer; 	7.264 ;8.857;1.593;22 %;13%;15%;2%;
43;43-9051;Mail Clerks and Mail Machine Operators, Except Postal Service;Baby Boomer; 	18.877 ;20.445;1.568;8 %;16%;18%;2%;
43;43-3061;Procurement Clerks;Baby Boomer; 	12.923 ;14.489;1.566;12 %;17%;19%;2%;
23;23-1011;Lawyers;Baby Boomer; 	144.300 ;145.862;1.562;1 %;18%;19%;1%;
41;41-9031;Sales Engineers;Baby Boomer; 	11.792 ;13.335;1.543;13 %;15%;18%;3%;
31;31-9011;Massage Therapists;Baby Boomer; 	13.916 ;15.444;1.528;11 %;11%;11%;0%;
21;21-1013;Marriage and Family Therapists;Baby Boomer; 	6.308 ;7.833;1.525;24 %;18%;19%;1%;
29;29-1063;Internists, General;Baby Boomer; 	9.012 ;10.537;1.525;17 %;18%;20%;2%;
49;49-9043;Maintenance Workers, Machinery;Baby Boomer; 	18.384 ;19.904;1.520;8 %;19%;21%;2%;
29;29-9011;Occupational Health and Safety Specialists;Baby Boomer; 	10.242 ;11.759;1.517;15 %;17%;19%;2%;
31;31-9096;Veterinary Assistants and Laboratory Animal Caretakers;Baby Boomer; 	6.957 ;8.466;1.509;22 %;9%;11%;3%;
53;53-6021;Parking Lot Attendants;Baby Boomer; 	13.516 ;15.024;1.508;11 %;10%;11%;1%;
39;39-9099;Personal Care and Service Workers, All Other;Baby Boomer; 	13.711 ;15.211;1.500;11 %;14%;14%;0%;
51;51-9012;Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;Baby Boomer; 	6.484 ;7.974;1.490;23 %;15%;19%;4%;
39;39-1021;First-Line Supervisors of Personal Service Workers;Baby Boomer; 	25.136 ;26.626;1.490;6 %;13%;14%;1%;
49;49-9099;Installation, Maintenance, and Repair Workers, All Other;Baby Boomer; 	25.208 ;26.687;1.479;6 %;14%;16%;2%;
49;49-9031;Home Appliance Repairers;Baby Boomer; 	6.037 ;7.474;1.437;24 %;13%;18%;5%;
29;29-1067;Surgeons;Baby Boomer; 	8.641 ;10.072;1.431;17 %;19%;21%;2%;
19;19-3031;Clinical, Counseling, and School Psychologists;Baby Boomer; 	38.842 ;40.259;1.417;4 %;27%;27%;0%;
33;33-9093;Transportation Security Screeners;Baby Boomer; 	7.954 ;9.370;1.416;18 %;18%;18%;0%;
37;37-2021;Pest Control Workers;Baby Boomer; 	8.416 ;9.824;1.408;17 %;12%;14%;2%;
27;27-2042;Musicians and Singers;Baby Boomer; 	28.773 ;30.177;1.404;5 %;16%;17%;1%;
19;19-2041;Environmental Scientists and Specialists, Including Health;Baby Boomer; 	13.168 ;14.549;1.381;10 %;16%;16%;0%;
51;51-8013;Power Plant Operators;Baby Boomer; 	7.821 ;9.187;1.366;17 %;19%;23%;4%;
11;11-9121;Natural Sciences Managers;Baby Boomer; 	8.185 ;9.523;1.338;16 %;17%;19%;2%;
27;27-2012;Producers and Directors;Baby Boomer; 	10.585 ;11.918;1.333;13 %;10%;11%;1%;
45;45-2041;Graders and Sorters, Agricultural Products;Baby Boomer; 	9.076 ;10.402;1.326;15 %;16%;17%;1%;
27;27-4021;Photographers;Baby Boomer; 	16.153 ;17.468;1.315;8 %;13%;14%;2%;
21;21-1021;Child, Family, and School Social Workers;Baby Boomer; 	51.951 ;53.259;1.308;3 %;18%;18%;0%;
49;49-9012;Control and Valve Installers and Repairers, Except Mechanical Door;Baby Boomer; 	8.007 ;9.301;1.294;16 %;19%;23%;4%;
47;47-5071;Roustabouts, Oil and Gas;Baby Boomer; 	1.744 ;3.030;1.286;74 %;4%;5%;1%;
51;51-9011;Chemical Equipment Operators and Tenders;Baby Boomer; 	10.624 ;11.905;1.281;12 %;17%;21%;4%;
11;11-2031;Public Relations and Fundraising Managers;Baby Boomer; 	8.551 ;9.817;1.266;15 %;15%;17%;2%;
49;49-3093;Tire Repairers and Changers;Baby Boomer; 	5.658 ;6.923;1.265;22 %;6%;7%;1%;
17;17-2061;Computer Hardware Engineers;Baby Boomer; 	7.890 ;9.152;1.262;16 %;9%;11%;2%;
39;39-5092;Manicurists and Pedicurists;Baby Boomer; 	7.984 ;9.244;1.260;16 %;9%;9%;0%;
47;47-5013;Service Unit Operators, Oil, Gas, and Mining;Baby Boomer; 	1.781 ;3.031;1.250;70 %;4%;5%;1%;
29;29-9099;Healthcare Practitioners and Technical Workers, All Other;Baby Boomer; 	6.194 ;7.424;1.230;20 %;13%;15%;2%;
35;35-1011;Chefs and Head Cooks;Baby Boomer; 	9.765 ;10.987;1.222;13 %;9%;10%;1%;
53;53-3099;Motor Vehicle Operators, All Other;Baby Boomer; 	13.318 ;14.531;1.213;9 %;20%;21%;1%;
17;17-3026;Industrial Engineering Technicians;Baby Boomer; 	12.420 ;13.623;1.203;10 %;17%;20%;3%;
39;39-3011;Gaming Dealers;Baby Boomer; 	15.693 ;16.884;1.191;8 %;15%;16%;1%;
31;31-2022;Physical Therapist Aides;Baby Boomer; 	3.131 ;4.302;1.171;37 %;7%;9%;2%;
25;25-2052;Special Education Teachers, Kindergarten and Elementary School;Baby Boomer; 	39.307 ;40.467;1.160;3 %;21%;21%; (0%);
29;29-1131;Veterinarians;Baby Boomer; 	8.488 ;9.639;1.151;14 %;13%;14%;1%;
49;49-3021;Automotive Body and Related Repairers;Baby Boomer; 	20.060 ;21.206;1.146;6 %;11%;13%;2%;
51;51-8091;Chemical Plant and System Operators;Baby Boomer; 	8.183 ;9.312;1.129;14 %;20%;24%;4%;
49;49-3041;Farm Equipment Mechanics and Service Technicians;Baby Boomer; 	5.747 ;6.875;1.128;20 %;15%;18%;3%;
21;21-1094;Community Health Workers;Baby Boomer; 	6.525 ;7.638;1.113;17 %;17%;19%;2%;
49;49-2095;Electrical and Electronics Repairers, Powerhouse, Substation, and Relay;Baby Boomer; 	5.244 ;6.354;1.110;21 %;23%;27%;4%;
13;13-2061;Financial Examiners;Baby Boomer; 	4.714 ;5.823;1.109;24 %;17%;19%;2%;
17;17-2081;Environmental Engineers;Baby Boomer; 	6.860 ;7.956;1.096;16 %;14%;15%;1%;
41;41-1011;First-Line Supervisors of Retail Sales Workers;Baby Boomer; 	210.784 ;211.880;1.096;1 %;13%;14%;1%;
21;21-1099;Community and Social Service Specialists, All Other;Baby Boomer; 	18.610 ;19.703;1.093;6 %;18%;19%;1%;
17;17-2041;Chemical Engineers;Baby Boomer; 	5.709 ;6.793;1.084;19 %;17%;20%;3%;
13;13-2031;Budget Analysts;Baby Boomer; 	9.076 ;10.156;1.080;12 %;16%;17%;1%;
17;17-2031;Biomedical Engineers;Baby Boomer; 	1.758 ;2.832;1.074;61 %;11%;13%;2%;
29;29-2035;Magnetic Resonance Imaging Technologists;Baby Boomer; 	3.001 ;4.073;1.072;36 %;11%;13%;2%;
37;37-1012;First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers;Baby Boomer; 	18.621 ;19.692;1.071;6 %;12%;12%;0%;
49;49-2022;Telecommunications Equipment Installers and Repairers, Except Line Installers;Baby Boomer; 	33.297 ;34.365;1.068;3 %;14%;16%;2%;
29;29-1065;Pediatricians, General;Baby Boomer; 	6.195 ;7.260;1.065;17 %;19%;20%;1%;
39;39-6011;Baggage Porters and Bellhops;Baby Boomer; 	5.996 ;7.048;1.052;18 %;14%;16%;2%;
27;27-1026;Merchandise Displayers and Window Trimmers;Baby Boomer; 	8.872 ;9.923;1.051;12 %;11%;12%;1%;
19;19-4041;Geological and Petroleum Technicians;Baby Boomer; 	2.407 ;3.452;1.045;43 %;17%;20%;3%;
49;49-2094;Electrical and Electronics Repairers, Commercial and Industrial Equipment;Baby Boomer; 	13.825 ;14.868;1.043;8 %;19%;22%;3%;
29;29-1061;Anesthesiologists;Baby Boomer; 	6.287 ;7.318;1.031;16 %;19%;21%;2%;
13;13-2041;Credit Analysts;Baby Boomer; 	5.334 ;6.355;1.021;19 %;8%;10%;2%;
27;27-4011;Audio and Video Equipment Technicians;Baby Boomer; 	6.152 ;7.149;997;16 %;9%;10%;1%;
17;17-3013;Mechanical Drafters;Baby Boomer; 	10.590 ;11.573;983;9 %;14%;17%;3%;
51;51-2023;Electromechanical Equipment Assemblers;Baby Boomer; 	10.925 ;11.907;982;9 %;19%;23%;4%;
33;33-9092;Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers;Baby Boomer; 	11.179 ;12.152;973;9 %;8%;9%;1%;
51;51-8092;Gas Plant Operators;Baby Boomer; 	2.651 ;3.620;969;37 %;22%;29%;7%;
39;39-7011;Tour Guides and Escorts;Baby Boomer; 	7.171 ;8.135;964;13 %;19%;21%;2%;
43;43-4131;Loan Interviewers and Clerks;Baby Boomer; 	18.320 ;19.280;960;5 %;8%;10%;2%;
43;43-5021;Couriers and Messengers;Baby Boomer; 	21.137 ;22.092;955;5 %;18%;20%;2%;
53;53-5021;Captains, Mates, and Pilots of Water Vessels;Baby Boomer; 	5.797 ;6.718;921;16 %;16%;18%;2%;
47;47-5081;Helpers--Extraction Workers;Baby Boomer; 	1.591 ;2.511;920;58 %;7%;9%;2%;
53;53-6099;Transportation Workers, All Other;Baby Boomer; 	6.337 ;7.250;913;14 %;16%;19%;3%;
41;41-9011;Demonstrators and Product Promoters;Baby Boomer; 	14.987 ;15.892;905;6 %;15%;17%;2%;
51;51-2041;Structural Metal Fabricators and Fitters;Baby Boomer; 	13.642 ;14.527;885;6 %;15%;18%;3%;
19;19-1021;Biochemists and Biophysicists;Baby Boomer; 	2.855 ;3.732;877;31 %;11%;13%;2%;
47;47-2181;Roofers;Baby Boomer; 	10.705 ;11.563;858;8 %;7%;8%;1%;
25;25-4031;Library Technicians;Baby Boomer; 	21.708 ;22.566;858;4 %;18%;18%;0%;
25;25-9099;Education, Training, and Library Workers, All Other;Baby Boomer; 	21.381 ;22.236;855;4 %;21%;22%;1%;
49;49-2097;Electronic Home Entertainment Equipment Installers and Repairers;Baby Boomer; 	3.086 ;3.930;844;27 %;8%;11%;3%;
51;51-3093;Food Cooking Machine Operators and Tenders;Baby Boomer; 	3.912 ;4.734;822;21 %;12%;14%;2%;
19;19-1012;Food Scientists and Technologists;Baby Boomer; 	3.219 ;4.039;820;25 %;22%;26%;4%;
43;43-4121;Library Assistants, Clerical;Baby Boomer; 	21.378 ;22.197;819;4 %;17%;17%; (0%);
53;53-5011;Sailors and Marine Oilers;Baby Boomer; 	4.635 ;5.453;818;18 %;14%;16%;2%;
51;51-2031;Engine and Other Machine Assemblers;Baby Boomer; 	6.554 ;7.369;815;12 %;15%;18%;3%;
51;51-8031;Water and Wastewater Treatment Plant and System Operators;Baby Boomer; 	19.081 ;19.895;814;4 %;18%;18%;0%;
51;51-4023;Rolling Machine Setters, Operators, and Tenders, Metal and Plastic;Baby Boomer; 	7.393 ;8.203;810;11 %;18%;23%;5%;
11;11-3131;Training and Development Managers;Baby Boomer; 	5.209 ;6.015;806;15 %;19%;21%;2%;
53;53-7073;Wellhead Pumpers;Baby Boomer; 	1.646 ;2.448;802;49 %;13%;15%;2%;
29;29-1064;Obstetricians and Gynecologists;Baby Boomer; 	4.235 ;5.033;798;19 %;19%;21%;2%;
33;33-9099;Protective Service Workers, All Other;Baby Boomer; 	12.671 ;13.469;798;6 %;15%;16%;1%;
13;13-1075;Labor Relations Specialists;Baby Boomer; 	17.910 ;18.707;797;4 %;22%;25%;3%;
43;43-5041;Meter Readers, Utilities;Baby Boomer; 	5.902 ;6.696;794;13 %;15%;17%;2%;
19;19-4099;Life, Physical, and Social Science Technicians, All Other;Baby Boomer; 	7.631 ;8.421;790;10 %;13%;14%;1%;
17;17-2161;Nuclear Engineers;Baby Boomer; 	4.160 ;4.949;789;19 %;20%;22%;2%;
47;47-4041;Hazardous Materials Removal Workers;Baby Boomer; 	2.602 ;3.386;784;30 %;7%;9%;2%;
53;53-3011;Ambulance Drivers and Attendants, Except Emergency Medical Technicians;Baby Boomer; 	2.397 ;3.180;783;33 %;15%;17%;2%;
23;23-2093;Title Examiners, Abstractors, and Searchers;Baby Boomer; 	8.124 ;8.898;774;10 %;13%;15%;2%;
27;27-2011;Actors;Baby Boomer; 	6.948 ;7.719;771;11 %;8%;9%;1%;
43;43-4141;New Accounts Clerks;Baby Boomer; 	6.332 ;7.098;766;12 %;11%;13%;2%;
49;49-2098;Security and Fire Alarm Systems Installers;Baby Boomer; 	6.611 ;7.377;766;12 %;11%;12%;1%;
39;39-6012;Concierges;Baby Boomer; 	4.133 ;4.882;749;18 %;16%;18%;2%;
27;27-3011;Radio and Television Announcers;Baby Boomer; 	4.271 ;5.018;747;17 %;10%;13%;3%;
29;29-2057;Ophthalmic Medical Technicians;Baby Boomer; 	1.997 ;2.742;745;37 %;7%;9%;2%;
51;51-9081;Dental Laboratory Technicians;Baby Boomer; 	6.675 ;7.417;742;11 %;16%;18%;2%;
31;31-2011;Occupational Therapy Assistants;Baby Boomer; 	2.231 ;2.971;740;33 %;9%;10%;1%;
19;19-4091;Environmental Science and Protection Technicians, Including Health;Baby Boomer; 	3.951 ;4.681;730;18 %;13%;14%;1%;
43;43-4041;Credit Authorizers, Checkers, and Clerks;Baby Boomer; 	5.951 ;6.681;730;12 %;10%;13%;3%;
53;53-7011;Conveyor Operators and Tenders;Baby Boomer; 	4.657 ;5.383;726;16 %;11%;13%;2%;
33;33-3021;Detectives and Criminal Investigators;Baby Boomer; 	18.609 ;19.335;726;4 %;17%;17%; (0%);
43;43-3099;Financial Clerks, All Other;Baby Boomer; 	5.970 ;6.693;723;12 %;13%;16%;3%;
17;17-3027;Mechanical Engineering Technicians;Baby Boomer; 	8.549 ;9.259;710;8 %;16%;19%;3%;
43;43-9021;Data Entry Keyers;Baby Boomer; 	33.338 ;34.042;704;2 %;13%;15%;2%;
47;47-3015;Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters;Baby Boomer; 	2.748 ;3.448;700;25 %;5%;7%;2%;
51;51-8021;Stationary Engineers and Boiler Operators;Baby Boomer; 	7.731 ;8.430;699;9 %;20%;23%;3%;
47;47-5041;Continuous Mining Machine Operators;Baby Boomer; 	1.907 ;2.603;696;36 %;15%;19%;4%;
37;37-3013;Tree Trimmers and Pruners;Baby Boomer; 	6.066 ;6.756;690;11 %;9%;10%;1%;
27;27-4012;Broadcast Technicians;Baby Boomer; 	3.930 ;4.619;689;18 %;11%;14%;3%;
17;17-3022;Civil Engineering Technicians;Baby Boomer; 	12.152 ;12.839;687;6 %;16%;18%;2%;
43;43-9011;Computer Operators;Baby Boomer; 	13.424 ;14.110;686;5 %;15%;18%;3%;
27;27-3099;Media and Communication Workers, All Other;Baby Boomer; 	4.324 ;5.006;682;16 %;14%;16%;2%;
21;21-1029;Social Workers, All Other;Baby Boomer; 	10.492 ;11.171;679;6 %;17%;18%;1%;
17;17-2131;Materials Engineers;Baby Boomer; 	3.380 ;4.055;675;20 %;14%;17%;3%;
35;35-2019;Cooks, All Other;Baby Boomer; 	2.970 ;3.635;665;22 %;11%;13%;2%;
51;51-3099;Food Processing Workers, All Other;Baby Boomer; 	4.486 ;5.143;657;15 %;11%;13%;2%;
19;19-2012;Physicists;Baby Boomer; 	3.326 ;3.982;656;20 %;19%;21%;2%;
47;47-4011;Construction and Building Inspectors;Baby Boomer; 	20.444 ;21.098;654;3 %;19%;21%;2%;
13;13-1141;Compensation, Benefits, and Job Analysis Specialists;Baby Boomer; 	13.891 ;14.541;650;5 %;15%;16%;1%;
15;15-2041;Statisticians;Baby Boomer; 	3.059 ;3.708;649;21 %;12%;14%;2%;
19;19-3099;Social Scientists and Related Workers, All Other;Baby Boomer; 	4.694 ;5.335;641;14 %;15%;16%;1%;
39;39-5094;Skincare Specialists;Baby Boomer; 	3.519 ;4.157;638;18 %;8%;8%;0%;
19;19-1029;Biological Scientists, All Other;Baby Boomer; 	4.552 ;5.180;628;14 %;15%;16%;1%;
29;29-2033;Nuclear Medicine Technologists;Baby Boomer; 	2.169 ;2.796;627;29 %;11%;13%;2%;
51;51-4021;Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic;Baby Boomer; 	12.003 ;12.630;627;5 %;14%;17%;3%;
51;51-4033;Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic;Baby Boomer; 	13.301 ;13.927;626;5 %;17%;20%;3%;
33;33-1099;First-Line Supervisors of Protective Service Workers, All Other;Baby Boomer; 	12.614 ;13.230;616;5 %;20%;21%;1%;
11;11-9039;Education Administrators, All Other;Baby Boomer; 	6.809 ;7.423;614;9 %;21%;22%;1%;
47;47-2073;Operating Engineers and Other Construction Equipment Operators;Baby Boomer; 	63.129 ;63.740;611;1 %;15%;17%;2%;
31;31-9095;Pharmacy Aides;Baby Boomer; 	4.388 ;4.984;596;14 %;10%;11%;1%;
15;15-1111;Computer and Information Research Scientists;Baby Boomer; 	3.357 ;3.952;595;18 %;14%;15%;1%;
51;51-2099;Assemblers and Fabricators, All Other;Baby Boomer; 	38.773 ;39.368;595;2 %;12%;14%;2%;
49;49-2096;Electronic Equipment Installers and Repairers, Motor Vehicles;Baby Boomer; 	1.716 ;2.309;593;35 %;12%;19%;7%;
51;51-4081;Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic;Baby Boomer; 	15.612 ;16.199;587;4 %;16%;19%;3%;
51;51-3091;Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders;Baby Boomer; 	2.219 ;2.805;586;26 %;11%;13%;2%;
53;53-6051;Transportation Inspectors;Baby Boomer; 	4.874 ;5.459;585;12 %;20%;21%;1%;
29;29-9091;Athletic Trainers;Baby Boomer; 	2.113 ;2.695;582;28 %;11%;13%;2%;
49;49-3043;Rail Car Repairers;Baby Boomer; 	3.987 ;4.565;578;14 %;21%;21%;0%;
17;17-3025;Environmental Engineering Technicians;Baby Boomer; 	2.691 ;3.263;572;21 %;15%;17%;2%;
49;49-3053;Outdoor Power Equipment and Other Small Engine Mechanics;Baby Boomer; 	4.170 ;4.740;570;14 %;13%;16%;3%;
51;51-4012;Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic;Baby Boomer; 	3.017 ;3.585;568;19 %;12%;15%;3%;
19;19-3039;Psychologists, All Other;Baby Boomer; 	5.342 ;5.910;568;11 %;29%;29%; (0%);
21;21-2021;Directors, Religious Activities and Education;Baby Boomer; 	30.866 ;31.431;565;2 %;23%;24%;1%;
45;45-2091;Agricultural Equipment Operators;Baby Boomer; 	5.455 ;6.015;560;10 %;9%;9%;0%;
19;19-2099;Physical Scientists, All Other;Baby Boomer; 	4.574 ;5.132;558;12 %;17%;17%;0%;
47;47-5012;Rotary Drill Operators, Oil and Gas;Baby Boomer; 	689 ;1.246;557;81 %;4%;5%;1%;
37;37-3012;Pesticide Handlers, Sprayers, and Applicators, Vegetation;Baby Boomer; 	3.331 ;3.888;557;17 %;10%;12%;2%;
