FIPS;State;Generation;2007 Jobs;2013 Jobs;Job Change;% Job Change;2007 Share of All Jobs;2013 Share of All Jobs;Change in Share
22;Louisiana;Baby Boomer; 	282.870 ; 	317.233 ; 	34.363 ;12 %;13,4 %;14,8 %;1,4 %
6;California;Baby Boomer; 	2.385.045 ; 	2.559.375 ; 	174.330 ;7 %;13,3 %;14,8 %;1,4 %
4;Arizona;Baby Boomer; 	387.842 ; 	414.199 ; 	26.357 ;7 %;13,1 %;14,7 %;1,6 %
11;District of Columbia;Baby Boomer; 	101.915 ; 	111.463 ; 	9.548 ;9 %;13,8 %;14,4 %;0,6 %
13;Georgia;Baby Boomer; 	590.124 ; 	633.469 ; 	43.345 ;7 %;12,8 %;14,2 %;1,4 %
48;Texas;Baby Boomer; 	1.495.872 ; 	1.761.585 ; 	265.713 ;18 %;12,9 %;14,2 %;1,3 %
49;Utah;Baby Boomer; 	152.925 ; 	176.682 ; 	23.757 ;16 %;11,2 %;12,6 %;1,5 %
11;District of Columbia;Millennial; 	249.724 ; 	266.116 ; 	16.392 ;7 %;34 %;34 %;0,5 %
49;Utah;Millennial; 	468.162 ; 	476.353 ; 	8.191 ;2 %;34 %;34 %;-0,1 %
38;North Dakota;Millennial; 	108.984 ; 	145.535 ; 	36.551 ;34 %;27 %;30 %;2,7 %
2;Alaska;Millennial; 	105.942 ; 	114.324 ; 	8.382 ;8 %;28 %;30 %;1,5 %
22;Louisiana;Millennial; 	595.306 ; 	622.746 ; 	27.440 ;5 %;28 %;29 %;0,9 %
4;Arizona;Millennial; 	847.384 ; 	809.154 ; 	(38.230);-5 %;29 %;29 %;0,1 %
53;Washington;Millennial; 	956.506 ; 	969.073 ; 	12.567 ;1 %;28 %;29 %;0,4 %
48;Texas;Millennial; 	3.274.785 ; 	3.543.753 ; 	268.968 ;8 %;28 %;28 %;0,3 %
6;California;Millennial; 	4.959.607 ; 	4.915.280 ; 	(44.327);-1 %;28 %;28 %;0,6 %
8;Colorado;Millennial; 	729.696 ; 	752.371 ; 	22.675 ;3 %;28 %;28 %;0,4 %
16;Idaho;Millennial; 	212.606 ; 	203.772 ; 	(8.834);-4 %;28 %;28 %;0,1 %
56;Wyoming;Millennial; 	87.202 ; 	90.543 ; 	3.341 ;4 %;27 %;28 %;0,8 %
27;Minnesota;Millennial; 	814.422 ; 	842.431 ; 	28.009 ;3 %;27 %;28 %;0,9 %
32;Nevada;Millennial; 	380.502 ; 	347.055 ; 	(33.447);-9 %;27 %;28 %;0,3 %
13;Georgia;Millennial; 	1.285.941 ; 	1.235.986 ; 	(49.955);-4 %;28 %;28 %;-0,3 %
40;Oklahoma;Millennial; 	480.616 ; 	491.668 ; 	11.052 ;2 %;27 %;28 %;0,5 %
28;Mississippi;Millennial; 	355.892 ; 	347.854 ; 	(8.038);-2 %;27 %;28 %;0,2 %
29;Missouri;Millennial; 	827.330 ; 	822.601 ; 	(4.729);-1 %;27 %;28 %;0,6 %
5;Arkansas;Millennial; 	366.389 ; 	359.874 ; 	(6.515);-2 %;27 %;28 %;0,1 %
15;Hawaii;Millennial; 	206.675 ; 	202.789 ; 	(3.886);-2 %;27 %;28 %;0,1 %
41;Oregon;Millennial; 	533.842 ; 	524.560 ; 	(9.282);-2 %;27 %;27 %;0,6 %
21;Kentucky;Millennial; 	572.395 ; 	558.819 ; 	(13.576);-2 %;28 %;27 %;-0,2 %
17;Illinois;Millennial; 	1.747.249 ; 	1.710.111 ; 	(37.138);-2 %;27 %;27 %;0,3 %
25;Massachusetts;Millennial; 	964.538 ; 	1.001.015 ; 	36.477 ;4 %;27 %;27 %;0,6 %
31;Nebraska;Millennial; 	284.393 ; 	289.184 ; 	4.791 ;2 %;27 %;27 %;0,3 %
35;New Mexico;Millennial; 	251.105 ; 	248.745 ; 	(2.360);-1 %;27 %;27 %;0,7 %
36;New York;Millennial; 	2.515.020 ; 	2.614.726 ; 	99.706 ;4 %;26 %;27 %;0,8 %
46;South Dakota;Millennial; 	121.877 ; 	128.863 ; 	6.986 ;6 %;26 %;27 %;0,8 %
20;Kansas;Millennial; 	412.128 ; 	415.859 ; 	3.731 ;1 %;27 %;27 %;0,6 %
1;Alabama;Millennial; 	598.671 ; 	564.266 ; 	(34.405);-6 %;27 %;27 %;0,0 %
45;South Carolina;Millennial; 	570.008 ; 	565.022 ; 	(4.986);-1 %;27 %;27 %;0,5 %
37;North Carolina;Millennial; 	1.242.970 ; 	1.213.496 ; 	(29.474);-2 %;27 %;27 %;-0,1 %
47;Tennessee;Millennial; 	830.950 ; 	813.309 ; 	(17.641);-2 %;27 %;27 %;-0,0 %
51;Virginia;Millennial; 	1.107.606 ; 	1.107.663 ; 	57 ;0 %;26 %;27 %;0,2 %
18;Indiana;Millennial; 	844.451 ; 	839.574 ; 	(4.877);-1 %;26 %;27 %;0,3 %
30;Montana;Millennial; 	132.214 ; 	135.326 ; 	3.112 ;2 %;26 %;26 %;0,8 %
19;Iowa;Millennial; 	430.728 ; 	443.868 ; 	13.140 ;3 %;26 %;26 %;0,6 %
10;Delaware;Millennial; 	121.764 ; 	118.558 ; 	(3.206);-3 %;26 %;26 %;0,2 %
24;Maryland;Millennial; 	736.686 ; 	754.718 ; 	18.032 ;2 %;26 %;26 %;0,6 %
55;Wisconsin;Millennial; 	780.170 ; 	784.926 ; 	4.756 ;1 %;25 %;26 %;0,7 %
12;Florida;Millennial; 	2.280.712 ; 	2.169.144 ; 	(111.568);-5 %;26 %;26 %;0,3 %
54;West Virginia;Millennial; 	204.593 ; 	204.560 ; 	(33);-0 %;26 %;26 %;-0,2 %
39;Ohio;Millennial; 	1.486.817 ; 	1.448.891 ; 	(37.926);-3 %;25 %;26 %;0,5 %
26;Michigan;Millennial; 	1.172.790 ; 	1.138.233 ; 	(34.557);-3 %;25 %;26 %;0,4 %
42;Pennsylvania;Millennial; 	1.530.082 ; 	1.572.338 ; 	42.256 ;3 %;24 %;25 %;0,9 %
44;Rhode Island;Millennial; 	130.781 ; 	126.068 ; 	(4.713);-4 %;24 %;25 %;0,6 %
9;Connecticut;Millennial; 	438.924 ; 	443.073 ; 	4.149 ;1 %;23 %;24 %;0,8 %
34;New Jersey;Millennial; 	1.033.437 ; 	1.007.606 ; 	(25.831);-2 %;24 %;24 %;0,0 %
23;Maine;Millennial; 	160.754 ; 	159.272 ; 	(1.482);-1 %;23 %;24 %;0,6 %
50;Vermont;Millennial; 	81.559 ; 	83.589 ; 	2.030 ;2 %;23 %;23 %;0,7 %
33;New Hampshire;Millennial; 	164.608 ; 	162.753 ; 	(1.855);-1 %;23 %;23 %;0,4 %
