"faa","name","lat","lon","alt","tz","dst","city","country","flight_date","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","airline","tail_number","flight_number","origin","dest","air_time","actual_elapsed_time","distance","cancelled","diverted"
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-01",958,1002,-4,1002,1017,-15,DL,N668DN,2179,ATL,PNS,46,64,271,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-01",1023,1025,-2,1150,1150,0,MQ,N673AE,3663,MIA,TLH,75,87,402,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-01",1021,1028,-7,1207,1216,-9,MQ,N223NN,3324,DFW,PNS,83,106,604,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-01",1053,1031,22,1130,1118,12,G4,"224NV",1901,CVG,VPS,80,97,600,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-01",1044,1050,-6,1133,1150,-17,DL,N944DL,489,ATL,TLH,36,49,223,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-01",1044,1055,-11,1236,1255,-19,YV,N906FJ,5740,DFW,VPS,86,112,641,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-01",1109,1112,-3,1102,1116,-14,DL,N943DL,1733,ATL,ECP,39,53,240,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-01",1107,1122,-15,1304,1326,-22,G4,"274NV",1915,MCI,VPS,101,117,764,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-01",1136,1130,6,1215,1214,1,OH,N587NN,5298,CLT,PNS,73,99,488,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-01",1124,1131,-7,1200,1210,-10,EV,N717EV,2916,CLT,ECP,64,96,437,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-01",1128,1138,-10,1241,1300,-19,MQ,N225NN,3771,DCA,PNS,112,133,816,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-01",1137,1141,-4,1353,1400,-7,EV,N16559,4085,ORD,PNS,116,136,794,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-01",1207,1155,12,1349,1344,5,EV,N16571,3995,IAH,VPS,75,102,528,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-01",1206,1155,11,1340,1334,6,EV,N14573,4393,IAH,PNS,72,94,489,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-01",1209,1220,-11,1354,1409,-15,AA,N9618A,1047,DFW,VPS,89,105,641,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-01",1215,1225,-10,1405,1424,-19,EV,N616QX,2895,DFW,ECP,93,110,685,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-01",1235,1236,-1,1243,1247,-4,DL,N957DL,1353,ATL,PNS,51,68,271,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-01",1307,1300,7,1440,1445,-5,AA,N9616G,2389,DFW,PNS,82,93,604,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-01",1305,1305,0,1606,1612,-6,MQ,N250NN,4069,DFW,TLH,101,121,767,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-01",1305,1306,-1,1346,1349,-3,OH,N566NN,5500,CLT,VPS,66,101,460,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-01",1310,1315,-5,1453,1500,-7,WN,N8622A,3079,DAL,ECP,87,103,674,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-01",1312,1315,-3,1440,1446,-6,OH,N588NN,5662,CLT,TLH,55,88,386,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-01",1338,1342,-4,1337,1348,-11,DL,N936DL,2873,ATL,VPS,41,59,250,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-01",1346,1354,-8,1343,1352,-9,DL,N955DL,2506,ATL,ECP,40,57,240,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-01",1404,1414,-10,1533,1555,-22,YX,N133HQ,4537,PHL,PNS,129,149,935,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-01",1420,1421,-1,1511,1523,-12,DL,N994AT,1399,ATL,TLH,38,51,223,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-01",1452,1439,13,1615,1608,7,MQ,N657AE,3861,MIA,TLH,63,83,402,0,0
